TRAJ	SHORT_TRAJ	AMP_TMP2M_mean	AMP_RH_mean	AMP_WS_mean	AMP_PREC_sum	PM2.5	SEASON
9	1	12.1387755102041	81.9387755102041	0.461224489795918	0	7.35	AUTOMN
9	3	7.11428571428571	78.3061224489796	0.542857142857143	0	5.53	AUTOMN
9	3	8.19591836734694	79.9795918367347	0.410204081632653	0	10.8	AUTOMN
5	3	8.59795918367347	81.8163265306122	0.414285714285714	0	18.6	AUTOMN
6	3	8.94897959183674	83.1020408163265	0.430612244897959	0	22.95	AUTOMN
5	3	8.98367346938775	83.469387755102	0.351020408163265	0	24.4	AUTOMN
5	3	9.93061224489796	85.0612244897959	0.43469387755102	0	27.67	AUTOMN
5	3	8.25714285714286	82.2857142857143	0.628571428571429	0	27.22	AUTOMN
5	3	6.19183673469388	78.8367346938775	0.56734693877551	0	18.87	AUTOMN
5	3	3.58163265306122	80.3469387755102	0.622448979591837	0	10.62	AUTOMN
1	3	3.34081632653061	78.7959183673469	0.495918367346939	0	12.7	AUTOMN
1	1	4.05	81.0869565217391	0.451020408163265	0	13.52	AUTOMN
1	1	10.6857142857143	77.3469387755102	1.19387755102041	0	11.52	AUTOMN
5	4	12.2448979591837	90.5714285714286	0.779591836734694	0	7.62	AUTOMN
5	5	12.8836734693878	91.6734693877551	0.510204081632653	0	5.35	AUTOMN
5	5	13.5183673469388	86.734693877551	0.685714285714286	0	7.62	AUTOMN
5	4	15.7918367346939	82.0612244897959	2.5530612244898	0	10.07	AUTOMN
3	4	14.5163265306122	88.8979591836735	2.07142857142857	0	8.35	AUTOMN
3	5	11.5612244897959	83.8367346938775	0.648979591836735	0	7.8	AUTOMN
3	5	13.430612244898	80.9387755102041	1.32244897959184	8.1	10.71	AUTOMN
3	5	12.7244897959184	79.1224489795918	0.463265306122449	0	13.7	AUTOMN
3	5	12.8622448979592	83.6530612244898	0.404166666666667	0	15.7	AUTOMN
3	1	8.81224489795918	92.3877551020408	0.355102040816327	0	11.16	AUTOMN
3	3	3.78367346938776	83.0816326530612	0.581632653061224	0	7.53	AUTOMN
7	1	5.67551020408163	78.3265306122449	0.446938775510204	0	10.98	AUTOMN
9	5	5.96734693877551	89	0.612244897959184	18.3	4.54	AUTOMN
9	2	-1.19591836734694	77.2857142857143	0.646938775510204	0.1	6.35	AUTOMN
9	1	-1.03367346938776	74.0816326530612	0.577083333333333	0	6.17	AUTOMN
6	1	1.62959183673469	73.8265306122449	0.91875	0	6.44	AUTOMN
9	5	4.9530612244898	75.8367346938775	1.09387755102041	0	13.43	AUTOMN
9	1	3.58979591836735	79.7959183673469	0.297959183673469	0	15.97	AUTOMN
9	1	4.19183673469388	76.734693877551	0.395918367346939	0	13.33	AUTOMN
2	5	10.8102040816327	72.4081632653061	1.42857142857143	0	13.15	AUTOMN
2	5	8.85510204081633	79.6122448979592	1.30408163265306	0	15.88	AUTOMN
2	2	1.26530612244898	73.265306122449	0.771428571428571	0	6.53	AUTOMN
2	5	7.28979591836735	67.0408163265306	1.76122448979592	0	8.89	AUTOMN
3	1	5.77142857142857	86.3877551020408	0.655102040816327	1.1	12.52	AUTOMN
9	1	7.7265306122449	70.7142857142857	1.47755102040816	0	5.62	AUTOMN
9	5	10.9040816326531	75.0612244897959	1.72244897959184	0	11.34	AUTOMN
2	5	13.134693877551	71.4489795918367	2.13469387755102	0	7.98	AUTOMN
9	5	12.1938775510204	85.3061224489796	2.14081632653061	2.3	8.98	AUTOMN
2	4	12.7326530612245	75.5102040816327	2.16530612244898	0.1	12.79	AUTOMN
2	1	10.0755102040816	80.9183673469388	0.889795918367347	0	10.25	AUTOMN
2	1	6.82040816326531	95.9387755102041	0.414285714285714	20.9	7.35	AUTOMN
3	5	7.28367346938775	90.8367346938775	0.854347826086957	16.8	5.35	AUTOMN
5	2	4.55816326530612	92.469387755102	0.43695652173913	24.8	2.18	AUTOMN
2	1	2.51875	85.6041666666667	0.323913043478261	0	4.99	AUTOMN
4	5	12.5132653061224	83.4081632653061	2.12291666666667	1.1	8.07	AUTOMN
4	5	7.52244897959184	84.5204081632653	0.68125	0	10.97	AUTOMN
2	5	5.0265306122449	87.1020408163265	0.33125	0	12.25	AUTOMN
2	1	6.62604166666667	87.9375	0.257446808510638	0	11.16	AUTOMN
5	3	5.92978723404255	90.2340425531915	0.419148936170213	0	15.97	AUTOMN
