TRAJ	SHORT_TRAJ	AMP_TMP2M_mean	AMP_RH_mean	AMP_WS_mean	AMP_PREC_sum	O3_max	SEASON
d	d	c	c	c	c	d	d
						class
5	4	16.7142857142857	75.4897959183673	0.93469387755102	0	MODERATE	SPRING
3	4	14.9979591836735	78.3061224489796	1.11428571428571	48.7	MODERATE	SPRING
3	4	12.730612244898	82.2857142857143	1.51224489795918	17.2	MODERATE	SPRING
4	5	13.6551020408163	76.6122448979592	1.15918367346939	0.3	MODERATE	SPRING
4	1	12.8734693877551	83.8979591836735	0.248979591836735	3.4	MODERATE	SPRING
9	2	12.8204081632653	81.8571428571429	0.289795918367347	1.1	MODERATE	SPRING
9	1	14.4918367346939	69.6938775510204	0.336734693877551	0	MODERATE	SPRING
4	1	15.3673469387755	67.0408163265306	0.422448979591837	0	MODERATE	SPRING
4	1	17.8021276595745	68.4893617021277	0.346938775510204	0	MODERATE	SPRING
5	1	19.6367346938775	68.0204081632653	0.306122448979592	0.1	HIGH	SPRING
2	5	20.6755102040816	68.1836734693878	0.569387755102041	0	HIGH	SPRING
3	2	24.7125	74.375	0.383333333333333	2.9	HIGH	SPRING
7	1	18.1472222222222	58.6388888888889	0.686111111111111	0	HIGH	SPRING
5	2	15.9836734693878	75.6122448979592	1.30816326530612	14.2	HIGH	SPRING
5	3	12.8183673469388	70.0816326530612	0.426530612244898	4.2	MODERATE	SPRING
5	1	13.965306122449	68.8979591836735	0.426530612244898	0.3	MODERATE	SPRING
9	5	18.7775510204082	60.1632653061224	0.86530612244898	0.1	HIGH	SPRING
9	4	19.1895833333333	67.4791666666667	1.46530612244898	1	HIGH	SPRING
2	4	22.265306122449	69.6734693877551	1.6469387755102	6	MODERATE	SPRING
2	2	12.7734693877551	85.6530612244898	0.275510204081633	7	MODERATE	SPRING
2	1	14.3367346938776	72.5918367346939	0.428571428571429	4.6	MODERATE	SPRING
8	5	18.7755102040816	69.8775510204082	0.806122448979592	1.9	MODERATE	SPRING
4	2	15.6714285714286	75	0.189795918367347	1	MODERATE	SPRING
9	1	17.8061224489796	69.1836734693878	0.340816326530612	1	MODERATE	SPRING
9	5	20.5061224489796	74.1224489795918	0.385714285714286	1	HIGH	SPRING
5	5	21.2229166666667	72.3125	0.46734693877551	0.7	HIGH	SPRING
5	2	21.9204081632653	65.2448979591837	0.459183673469388	0.5	HIGH	SPRING
4	3	17.8979591836735	70.5510204081633	0.248979591836735	0.3	MODERATE	SPRING
4	1	21.3673469387755	71.265306122449	0.385714285714286	0.3	HIGH	SPRING
5	3	19.6632653061224	79.8163265306122	0.251020408163265	0.3	MODERATE	SPRING
5	3	18.8081632653061	84.6734693877551	0.261224489795918	1.1	MODERATE	SPRING
5	5	18.2729166666667	76.5208333333333	0.73469387755102	0.3	MODERATE	SPRING
3	5	16.5591836734694	73.4081632653061	1.10612244897959	0.3	MODERATE	SPRING
5	1	17.7959183673469	82.1428571428571	0.23265306122449	0.4	MODERATE	SPRING
5	3	14.9224489795918	85.265306122449	0.153061224489796	0.5	MODERATE	SPRING
5	1	17.9122448979592	74.6530612244898	0.361224489795918	1.6	MODERATE	SPRING
5	5	20.8857142857143	72.265306122449	0.722448979591837	0	HIGH	SPRING
8	2	15.3553191489362	83.4893617021277	0.280851063829787	8.1	MODERATE	SPRING
8	1	17.4265306122449	74.1428571428571	0.379591836734694	1.4	MODERATE	SPRING
2	3	19.1918367346939	77.6530612244898	0.36734693877551	2.3	HIGH	SPRING
